IdExperienciaApp;IdProveedor;Estado;ExperienciaUniversal;Edad;Hijos;EdadHijos;EdadBeneficiarios;Antiguedad;Ingresos;FechaIngreso;Genero;TipoContrato;Cargo;Ciudad;TipoFamilia;AdultoMayor;Gestantes;Mascota;TipoMascota;ProgramaVigilanciaEpidemiologica;categoriaAfiliacion;PersonasEspeciales;afiliacionCajaCompensacion;afiliacionPbsCompensar;afiliacionPcCompensar;beneficiarioPbsCompensar;beneficiarioPcCompensar;TipoRemuneracion;GruposAplica;NombreExperiencia;NombreCortoExperiencia;TipoExperiencia;CategoriaBienestar;CantidadDisponible;Preferencias;ProcesarMotor
619bc121bb07e446013a3772;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Chia, Mosquera, Tocancipa, Cajica, Zipaquira, Barranquilla, Villavicencio, Cartagena, Madrid, Funza;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Beneficios Exclusivos En Servicios Inmobiliarios""";"""Viv Inmobiliarias Aliadas""";Informativa;Para Toda La Familia;0;64e676d293293143c6716a2c;1
61d5c94f43a792538f732079;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Chinacota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""?disfruta Momentos Únicos En Familia, Vive La Experiencia Sagal""";"""Des Sagal""";Informativa;Diviértete Y Comparte;0;64e676ab93293143c6716a2b;1
626aff7065821d66e5a6e1b7;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Mejora Tus Habilidades Lectoras Con Avan-c Leyendo""";"""Des Avan-c Leyendo""";Informativa;Aprende Y Crece;0;64e6761393293143c6716a29;1
626b0fa9f547f45fa416769d;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Medellin, Cali, Barranquilla;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Aprovecha Los Días De Descuento En Droguerías Cruz Verde""";"""Des Cruz Verde Días Descuento""";Informativa;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
627c5cda11e10322bf8ecce1;1;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Indefinido, Fijo;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Explora Las Ventajas Del Préstamo Educativo Sin Interés Para Tu Formación;Préstamo Educativo;Informativa;_Sindato;0;64e6761393293143c6716a29;1
62916aad2768293440beb800;1;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Fijo, Indefinido;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Convenio Academia De Idiomas Smart;Convenio Smart;Informativa;_Sindato;0;64e6761393293143c6716a29;1
62c83fc0a19270787e8ff392;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Cajica, Madrid, La Calera, Ibague, Neiva, Pereira, Barranquilla, Cartagena;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Plan Anual De Spinning Center: Aprovecha Un 20% De Descuento""";"""Spinning Bono 720 1 Año""";Transaccional;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
62d08271b0768f4be1b5c6cb;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Cajica, Chia, Funza, Fusagasuga, Girardot, Madrid, Soacha, Zipaquira;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""En Olimpica Recibe Descuentos Por Ser Afiliado Compensar""";"""Des Olimpica""";Informativa;Para Toda La Familia;0;64e676d293293143c6716a2c;1
62eb3da55da5290e1823129c;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;True;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Con Este Plan Exequial, Los Que Más Amas No Se Preocuparán Cuando No Estés""";"""Segu Exeq Adulto Mayor""";Informativa;Cuida De Ti;0;65fb7027ebb36179ac5e7137;1
62ed5efda2279f0dff96fdec;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Funza, Mosquera, Madrid, Cota, Chia, Zipaquira;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Aprovecha Los Descuentos Para La Próxima Compra De Tu Moto Nueva Suzuki""";"""Des Motos Suzuki""";Informativa;Para Toda La Familia;0;65fb7027ebb36179ac5e7137;1
62ed6b8cdf04b036672a067b;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Funza, Mosquera, Madrid, La Calera, Sopo, Cajica, Zipaquira, Cota, Chia, Tenjo, Tabio;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Encuentra El Mejor Servicio Técnico Y Repuestos Para Tu Moto En Auteco""";"""Des Servicio Técnico Auteco""";Informativa;Para Toda La Familia;0;65fb7027ebb36179ac5e7137;1
630533983a4fc217d610e5f1;0;ACTIVO;False;_Sindato;True;5 a 17;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, La Calera, Zipaquira, Tabio, Tenjo, Chia, Tocancipa;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Potencia La Educación De Tus Hijos En El Gimnasio Los Alpes""";"""Des Gimnas Campestre Los Alpes""";Informativa;_Sindato;0;64e6761393293143c6716a29;1
6305369a38a7c5005bad03c1;0;ACTIVO;False;_Sindato;True;5 a 17;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""El Colegio Militar Caldas Te Ofrece Grandes Descuentos En La Educación De Tus Hijos""";"""Des Colegio Militar Caldas""";Informativa;_Sindato;0;64e6761393293143c6716a29;1
63054662d74a9832eee993ac;0;ACTIVO;False;_Sindato;True;5 a 17;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Tenjo, Tabio, Chia, Cajica, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""En El Gimnasio Inglés Campestre Recibe Descuentos En La Educación De Tus Hijos""";"""Des Gimnasio Inglés Campestre""";Informativa;Aprende Y Crece;0;64e6761393293143c6716a29;1
63102a11fe3f14276d9657de;0;ACTIVO;False;18 a 99;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Mosquera, Madrid, Funza, Cota, Chia, Cajica, Zipaquira, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Todo Lo Que Hace Perfecta Tu Sonrisa Con Nuestros Tratamientos De Ortodoncia""";"""Sal Ora - Ortodoncia""";Informativa;Cuida De Ti;0;64e676d293293143c6716a2c;1
63402e443210d37121f47841;0;ACTIVO;False;_Sindato;True;0 a 4;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Facatativa, Zipaquira, La Mesa, Mosquera, Girardot, Ubate, Fusagasuga, Cucuta, Medellin, Tunja, Duitama, Sogamoso, Villavicencio, Cartagena, Barranquilla, Cali, Popayan, Bogota, Soacha;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Afília A Tu Bebé A Compensar Eps Y Disfruta Un Modelo De Atención Integral""";"""Eps Afiliación Bebes""";Informativa;Cuida De Ti;0;64e6761393293143c6716a29;1
63436c928860671cae91dc42;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Cartagena, Barranquilla, Tunja, Duitama, Sogamoso, Girardot, La Mesa, Facatativa, Zipaquira, Mosquera, Villavicencio, Cali, Popayan;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Vive La Experiencia Del Mundo Compensar Salud Para Tu Empresa""";"""Sal Emp Compe Salud Eps""";Informativa;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
637f7c3511ce2f27bbc9ecf7;0;ACTIVO;False;18 a 99;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Anapoima, Bogota, Briceno, Cajica, Caparrapi, Chia, Choconta, Cogua, Chinacota, El Rosal, Facatativa, Funza, Fusagasuga, Gachancipa, Girardot, Guaduas, Guasca, Guatavita, La Calera, La Mesa, Lenguazaque, Madrid, Melgar, Mesitas Del Colegio, Mosquera, Nemocon, Pacho, Puerto Salgar, Ricaurte, San Francisco, San Juan De Rio Seco, Sasaima, Sesquile, Sibate, Simijaca, Soacha, Sopo, Subachoque, Suesca, Tabio, Tenjo, Tocaima, Tocancipa, Ubate, Viani, Villa Pinzon, Villeta, Viota, Zipacon, Zipaquira;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Compensar Y Hoteles Estelar, Una Alianza Para Vivir? Nuevas Experiencias""";"""Tur Pre Hoteles Estelar""";Informativa;Vacaciones Que Inspiran;0;64e6768793293143c6716a2a;1
640f624aec359b4e6c2dba5b;1001118;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;B, A;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;¿Te Gustaría Ejercitarte Y Mantenerte Saludable? Todo Con El Mejor Precio¡¡¡;Dis 10% Plan Gym;Informativa;Bienestar De Tu Empresa;0;64e66faf93293143c6716a28;1
642c612e03ea855155bd85b7;1000731;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;¿Te Gustaría Disfrutar Del Portafolio Compensar Con El 30% De Descuento?;Dis 30% Categoría C;Informativa;Bienestar De Tu Empresa;0;64e6768793293143c6716a2a;1
64355da1cc1c7779d1b8cb1a;1000613;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Barrancabermeja, Barranquilla, Bogota, Bucaramanga, Cali, Cartagena, Chia, Envigado, Floridablanca, Girardot, Medellin, Pasto, Pereira, Popayan, Rionegro, Santa Marta, Soacha, Tunja, Valledupar, Yopal;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;En Tiendas Jumbo Encuentra Variedad En Productos Y Precios;Jumbo Frontera;Transaccional;Bienestar Frontera;0;64e676ab93293143c6716a2b;1
64389d7dd774f87e2374b751;1000731;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;C, B, A;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Cuida Tu Salud Con Nuestro Plan Complementario;Dis Plan De Acompañamiento;Informativa;Bienestar De Tu Empresa;0;65fb70b5a432ef1df3d7ecd6;1
644a78933402925d5f2abd94;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Los Fines De Semana Disfruta De Un Café En Tostao""";"""Des Tostao Descuento""";Informativa;_Sindato;0;64e676ab93293143c6716a2b;1
645518b12a35ae73661a8966;0;ACTIVO;False;_Sindato;True;6 a 11;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Conoce Este Programa Que Ayudará A Tus Hijos A Tener Hábitos Saludables""";"""P&P Infancia""";Informativa;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
64551dd2ca74e55e0cbe4de8;0;ACTIVO;False;_Sindato;True;12 a 17;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Crea Hábitos Saludables En Tus Hijos Adolescentes Con Este Programa""";"""P&P Adolescencia""";Informativa;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
64551f9d2a35ae73661a896d;0;ACTIVO;False;18 a 28;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Conoce El Programa Que Te Ayuda Con El Cuidado De Tu Salud""";"""P&P Juventud""";Informativa;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
6455b69566cb487063adf5c7;0;ACTIVO;False;29 a 59;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Aprende A Tomar Decisiones Saludables Y Cuida De Tu Cuerpo""";"""P&P Adultez""";Informativa;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
6455bf125a68c23e474bd3aa;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""¿Sabes Qué Es El Programa De Atención Específica Integral? Conócelo Aquí""";"""P&P Aei""";Informativa;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
6455c05766cb487063adf5cb;0;ACTIVO;False;25 a 65;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Previene El Cáncer De Cuello Uterino""";"""P&P Cáncer Cérvix""";Informativa;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
6457aa943402925d5f2d1ce9;0;ACTIVO;False;_Sindato;True;5 a 17;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Recibe Descuentos En La Pensión Mensual En El Colegio Colombo Florida Limitada""";"""Des Col Colombo Florida Limita""";Informativa;_Sindato;0;64e6761393293143c6716a29;1
64e2e009903c5c4feec8cd32;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;True;Gato,Pajaro;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""¡Peludito Limpio Y Feliz! 30% De Descuento En Baños, Solo En Movet""";"""Des Movet Baño""";Informativa;Para Toda La Familia;0;64e676ebbf6bf0045de27d17;1
